"","Category","Total","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2","career/business",8,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,3,2
"3","cars/motorcycles",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"4","community/environment",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"5","dancing",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"6","education/learning",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"7","fine arts/culture",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"8","fitness",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"9","food/drink",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"10","health/wellbeing",11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,3
"11","hobbies/crafts",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"12","literature/writing",2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"13","movements/politics",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14","music",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"15","new age/spirituality",3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
"16","outdoors/adventure",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA
"17","parents/family",12,NA,NA,NA,NA,1,NA,NA,NA,2,1,4,3,1
"18","photography",2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"19","sci-fi/fantasy",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"20","singles",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"21","socializing",8,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1
"22","sports/recreation",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"23","support",9,NA,NA,NA,NA,NA,NA,1,1,NA,1,3,1,2
"24","tech",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1
"25","women",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
