"","Category","Hartford","Bridgeport","New.Haven","Stamford","Waterbury","New.Haven.Perc","Hartford.Perc","Bridgeport.Perc","Stamford.Perc","Waterbury.Perc"
"1","",7,5,4,4,3,1.66,2.3,2.65,1.09,3.49
"2","LGBT",4,1,5,4,NA,2.07,1.31,0.53,1.09,NA
"3","alternative lifestyle",2,NA,NA,2,NA,NA,0.66,NA,0.54,NA
"4","career/business",30,29,23,49,8,9.54,9.84,15.34,13.35,9.3
"5","cars/motorcycles",2,NA,NA,1,1,NA,0.66,NA,0.27,1.16
"6","community/environment",8,6,6,8,2,2.49,2.62,3.17,2.18,2.33
"7","dancing",7,4,5,14,1,2.07,2.3,2.12,3.81,1.16
"8","education/learning",2,3,3,6,1,1.24,0.66,1.59,1.63,1.16
"9","fine arts/culture",6,2,6,8,1,2.49,1.97,1.06,2.18,1.16
"10","fitness",12,9,12,16,3,4.98,3.93,4.76,4.36,3.49
"11","food/drink",10,7,7,12,2,2.9,3.28,3.7,3.27,2.33
"12","games",3,4,6,3,NA,2.49,0.98,2.12,0.82,NA
"13","health/wellbeing",29,15,24,28,11,9.96,9.51,7.94,7.63,12.79
"14","hobbies/crafts",4,4,5,3,1,2.07,1.31,2.12,0.82,1.16
"15","language/ethnic identity",12,2,6,15,NA,2.49,3.93,1.06,4.09,NA
"16","literature/writing",8,3,8,8,2,3.32,2.62,1.59,2.18,2.33
"17","movements/politics",2,4,4,NA,1,1.66,0.66,2.12,NA,1.16
"18","movies/film",4,1,4,3,NA,1.66,1.31,0.53,0.82,NA
"19","music",9,5,4,12,1,1.66,2.95,2.65,3.27,1.16
"20","new age/spirituality",17,13,17,20,3,7.05,5.57,6.88,5.45,3.49
"21","outdoors/adventure",18,9,8,20,4,3.32,5.9,4.76,5.45,4.65
"22","parents/family",10,10,10,30,12,4.15,3.28,5.29,8.17,13.95
"23","pets/animals",4,NA,9,3,NA,3.73,1.31,NA,0.82,NA
"24","photography",4,8,7,4,2,2.9,1.31,4.23,1.09,2.33
"25","religion/beliefs",5,4,2,8,NA,0.83,1.64,2.12,2.18,NA
"26","sci-fi/fantasy",3,1,2,NA,2,0.83,0.98,0.53,NA,2.33
"27","singles",4,4,9,11,2,3.73,1.31,2.12,3,2.33
"28","socializing",34,8,15,24,8,6.22,11.15,4.23,6.54,9.3
"29","sports/recreation",9,7,5,19,2,2.07,2.95,3.7,5.18,2.33
"30","support",4,5,4,9,9,1.66,1.31,2.65,2.45,10.47
"31","tech",26,5,14,18,3,5.81,8.52,2.65,4.9,3.49
"32","women",6,11,7,5,1,2.9,1.97,5.82,1.36,1.16
