"","Category","Hartford","Bridgeport","New.Haven","Stamford","Waterbury","Hartford.Perc","Bridgeport.Perc","New.Haven.Perc","Stamford.Perc","Waterbury.Perc"
"1","",25,11,9,10,11,0.04,0.03,0.02,0.02,0.08
"2","LGBT",1967,281,1167,331,NA,2.96,0.82,2.45,0.5,NA
"3","alternative lifestyle",267,NA,NA,401,NA,0.4,NA,NA,0.61,NA
"4","career/business",4403,4787,2778,6793,391,6.62,14.02,5.82,10.35,2.71
"5","cars/motorcycles",1142,NA,NA,228,166,1.72,NA,NA,0.35,1.15
"6","community/environment",1628,547,167,542,75,2.45,1.6,0.35,0.83,0.52
"7","dancing",1202,237,828,2367,26,1.81,0.69,1.73,3.61,0.18
"8","education/learning",341,288,53,252,13,0.51,0.84,0.11,0.38,0.09
"9","fine arts/culture",826,531,2680,1953,9,1.24,1.56,5.62,2.98,0.06
"10","fitness",747,473,2237,3694,294,1.12,1.39,4.69,5.63,2.04
"11","food/drink",2762,2154,1939,4123,130,4.16,6.31,4.06,6.28,0.9
"12","games",271,464,1321,692,NA,0.41,1.36,2.77,1.05,NA
"13","health/wellbeing",4208,2259,2130,3174,1752,6.33,6.62,4.46,4.84,12.14
"14","hobbies/crafts",224,255,495,294,11,0.34,0.75,1.04,0.45,0.08
"15","language/ethnic identity",2060,177,1215,1814,NA,3.1,0.52,2.55,2.76,NA
"16","literature/writing",704,117,1375,956,56,1.06,0.34,2.88,1.46,0.39
"17","movements/politics",234,332,97,NA,14,0.35,0.97,0.2,NA,0.1
"18","movies/film",2198,46,447,1057,NA,3.31,0.13,0.94,1.61,NA
"19","music",668,271,179,1170,146,1.01,0.79,0.38,1.78,1.01
"20","new age/spirituality",1989,1431,1555,1199,348,2.99,4.19,3.26,1.83,2.41
"21","outdoors/adventure",12180,2173,3815,6642,1681,18.33,6.37,7.99,10.12,11.65
"22","parents/family",1334,641,884,2089,1279,2.01,1.88,1.85,3.18,8.87
"23","pets/animals",1364,NA,804,1177,NA,2.05,NA,1.68,1.79,NA
"24","photography",1370,4106,3898,1068,635,2.06,12.03,8.17,1.63,4.4
"25","religion/beliefs",923,688,390,380,NA,1.39,2.02,0.82,0.58,NA
"26","sci-fi/fantasy",426,62,82,NA,27,0.64,0.18,0.17,NA,0.19
"27","singles",2347,2132,2645,3984,869,3.53,6.25,5.54,6.07,6.02
"28","socializing",11902,6966,8653,10838,5045,17.91,20.41,18.13,16.52,34.97
"29","sports/recreation",2417,820,958,3784,248,3.64,2.4,2.01,5.77,1.72
"30","support",101,182,133,188,630,0.15,0.53,0.28,0.29,4.37
"31","tech",3352,575,2795,3849,436,5.04,1.68,5.86,5.87,3.02
"32","women",879,1130,2000,575,134,1.32,3.31,4.19,0.88,0.93
